author_id,author_name
1,Dr. Kyle Hinton
2,Christopher Davis
3,Artur Fernandes
4,Liliana Galindo Sierra
5,Jéssica Silva
6,Selena Moreno
7,Grégoire Letellier
8,Fredo Gualtieri
9,Monique Diaz de Jacquot
10,Stefani Garobbio-Ossola
11,Stacy Hudson
12,Patricia Payne
13,Arthur Hogan
14,Albano Alcántara Castejón
15,Nicolò Frescobaldi
16,Cynthia Campbell
17,Nelson Moura
18,Olga Innocenti
19,Gilberto Giolitti
20,Clarisa Morante Alberdi
21,Gilbert Dupré
22,Heraclio Ibarra Segura
23,Richard Barnes
24,Nuno Neto
25,Soraia Costa
26,Joe Shaffer
27,Vasco Cruz
28,Saturnina Pascual
29,Jonatan Esparza-Huguet
30,William Cunningham
31,Cristiano Costa
32,Sig.ra Clelia Cristoforetti
33,Alfred Michaud
34,Melissa Turchi
35,Nicanor Lalo Benavent Polo
36,Rodolfo Revilla
37,Susanita Cabezas Gil
38,Lupe Martorell Cobo
39,Hugues Godard de Fontaine
40,Erin Gonzales
41,Marciano Medina Alarcón
42,Fábio Gaspar
43,Maggie Marty
44,Viviana Contreras Manuel
45,Soraia Ramos
46,Lalo Jacinto Bonilla Quevedo
47,Debbie Freeman
48,Valérie Alves-Breton
49,Sarah Butler
50,David Toussaint-Bruneau
51,Begoña Amorós Castellanos
52,Amarilis Murcia
53,Louis du Pires
54,Daniela Paiva-Ribeiro
55,Leonor Mendes
56,Bárbara Rosenda Miró Ortega
57,Jonatan Sanmiguel Bayona
58,Jessica Moss
59,Noemí Isa Pou Arregui
60,Bernadette Langlois-Bigot
61,Salomé-Laura Cruz
62,Mélanie Araújo
63,Rebecca Terry
64,Ivo do Martins
65,Ema de Faria
66,Cecilia Donatoni
67,Nath Briand
68,Caterina Agostini
69,Denis Vieira
70,Jeremy Guzman
71,Andrew Fields
72,Teresa do Loureiro
73,Lorenzo Quesada
74,Rita Piacentini
75,Gustavo Barbosa-Carvalho
76,Michael Wilson
77,Jeffrey Howard Jr.
78,Annamaria Sabatini
79,Philippine Torres
80,Maria do Guerreiro
81,Mafalda Cunha
82,Franck Allain du Cordier
83,Orazio Viola-Garibaldi
84,Fabrizio Tarantino-Gemito
85,Crystal Mercado
86,Hortense Lagarde
87,Maurilio Murialdo-Ginesio
88,Estefanía Ríos Vila
89,Rafael Monteiro
90,Whitney Alexander
91,Richard Weiss
92,Christopher Meyer
93,Dott. Donatella Pacillo
94,Uberto Botta
95,Rico Linares Ropero
96,Patrícia Rocha-Amorim
97,Nicolas-Roger Dias
98,Jonathan Fischer
99,Anita-Bruna Miranda
100,Anita Rubbia
101,Mauro Amaral-Simões
102,Kayla Hill
103,Gil Campos
104,Mario Lovato-Lucciano
105,Erica Fonseca
106,Gabrielle Pineau
107,Pilar Cardoso
108,Sabine Roche
109,Vera Antunes
110,Paulina Verdi
111,Marina del Aguirre
112,Paco Carro
113,Gérard Carpentier
114,Zoé Dupont-Hernandez
115,Itziar Ibañez Mariscal
116,Sig. Enzo Pisani
117,Gianmarco Lancisi
118,Filipe Azevedo
119,Isaac Léger
120,Toni Beccaria
121,Robert Thompson
122,Eduarda Sousa
123,Lorena Pereira
124,Esther Pulido Garcés
125,Pauline Collet
126,Viridiana Zanzi-Gritti
127,Clelia Rosselli-Squarcione
128,Sandro Tavares
129,Claudine Guyon
130,Gabrielle Vidal
131,Daniel Humbert
132,Lucho de Carrión
133,Monica Trombetta
134,Lucas Reynaud
135,Adriana Moles
136,Bryan Lane
137,Diogo Sá
138,Gioffre Boccaccio
139,Venancio Troisi
140,Diana Vaz
141,Sandra Green
142,Ismael Zamora-Diaz
143,Luís Cardoso
144,Omar del Aguiló
145,Ariel Jáuregui Tirado
146,Carmela Sabater Paz
147,Crystal Richards
148,Anna Miles
149,Conrado de Manzanares
150,Charlotte Pons
151,Sig. Rembrandt Moretti
152,Mrs. Christine Evans
153,Jean Gilbert-Chartier
154,Eugène Thibault
155,Romeo Toso
156,Victoria Salcedo Uribe
157,Céline-Olivie Duval
158,Rémy Gautier
159,Célina Georges de la Hamel
160,Tania Catalá Diez
161,Gema Galván-Español
162,Diana Allen
163,Andrew Black
164,Frédéric Martineau du Chartier
165,Teodosio Reig
166,Ofelia Bayona Sebastián
167,Sig. Giacomo Casagrande
168,Suzanne Lambert
169,Patrick Mullins
170,Marcantonio Marrone
171,Régulo Vendrell-Ojeda
172,Rose Hill
173,Joséphine Faure
174,Jovita Casanovas Bas
175,Margot Besson de Dias
176,Melina Gadda
177,Geronimo Mazzini-Cilea
178,Sig. Massimo Iadanza
179,Santiago Amorim
180,Margaud Imbert
181,Teresa Chigi
182,Concetta Morandi
183,Laure Garnier
184,Massimiliano Turchi
185,Adrien Guillot
186,Tere Amaya-Ropero
187,Nath-Hortense Guichard
188,Nicolas Gérard-Bernard
189,Laura-Pilar Machado
190,Asdrubal Cabo Pizarro
191,Yara Macedo
192,Lucrezia Morricone
193,Madeleine Foucher
194,Pepito Velázquez Castejón
195,Leonor Amaral-Andrade
196,Anastasie-Victoire Hamel
197,Kimberly Durham
198,Edgar Carvalho
199,Nuria Pozo Aller
200,Leonor Vicente
