loan_id,loan_date,return_date,readers_users_user_id,book_isbn
1,2026-04-04,2026-05-04,74,979-0-483-510133-7
2,2024-05-15,2024-06-14,52,979-0-825-404598-3
3,2024-01-30,2024-03-15,66,979-0-188-847841-4
4,2025-08-09,2025-09-08,80,979-0-356-242282-6
5,2024-01-24,2024-02-07,90,979-0-750-193020-8
6,2024-09-04,2024-10-19,62,979-0-144-131127-3
7,2023-06-08,2023-07-08,112,979-0-927-344703-3
8,2025-12-12,2025-12-19,17,979-0-541-240440-4
9,2025-08-11,2025-08-25,54,979-0-426-353480-7
10,2024-10-02,2024-10-16,97,979-0-806-223119-4
11,2024-03-15,2024-04-05,108,979-0-678-627953-9
12,2024-05-19,2024-06-09,36,979-0-257-270128-2
13,2023-05-27,2023-06-10,93,979-0-992-540110-8
14,2024-04-21,2024-04-28,32,979-0-908-135527-4
15,2024-09-20,2024-10-20,14,979-0-931-236435-8
16,2025-12-01,,93,979-0-959-987826-1
17,2023-05-17,2023-06-16,105,979-0-499-823880-4
18,2023-12-31,2024-01-07,86,979-0-581-879677-2
19,2026-01-25,2026-03-11,67,979-0-658-408036-5
20,2024-09-04,2024-09-11,13,979-0-971-889649-0
21,2024-02-10,2024-03-26,61,979-0-844-185362-7
22,2025-01-04,2025-02-03,102,979-0-193-592841-5
23,2025-02-16,2025-04-02,79,979-0-252-979789-8
24,2024-12-03,2025-01-02,86,979-0-869-615530-5
25,2024-09-19,2024-09-26,26,979-0-512-640659-4
26,2025-04-02,2025-04-16,44,979-0-182-984522-2
27,2026-01-29,2026-02-19,72,979-0-793-666820-5
28,2024-12-22,2025-01-05,52,979-0-562-751114-5
29,2025-06-25,2025-07-09,52,979-0-685-646417-2
30,2025-10-26,2025-11-09,21,979-0-349-232040-9
31,2026-01-11,2026-03-12,84,979-0-502-896070-0
32,2023-11-02,2023-11-23,105,979-0-421-223694-1
33,2023-09-06,2023-10-21,21,979-0-678-627953-9
34,2025-05-18,2025-06-17,66,979-0-625-783362-5
35,2024-03-20,2024-05-04,44,979-0-999-552945-3
36,2025-03-18,2025-04-01,37,979-0-948-113228-1
37,2026-05-10,2026-05-11,57,979-0-793-666820-5
38,2023-12-15,2024-01-05,92,979-0-193-592841-5
39,2026-01-17,,45,979-0-112-117538-8
40,2023-06-04,2023-07-04,102,979-0-234-652329-2
41,2024-10-01,2024-10-22,19,979-0-862-437263-3
42,2025-06-02,2025-07-17,25,979-0-905-665610-5
43,2025-05-27,2025-06-26,43,979-0-688-410244-4
44,2023-10-19,2023-11-02,53,979-0-881-916466-8
45,2026-04-18,2026-05-02,99,979-0-831-490219-9
46,2023-09-05,2023-09-26,43,979-0-232-734347-8
47,2023-06-23,2023-07-14,104,979-0-433-683165-1
48,2025-05-31,2025-07-30,28,979-0-911-139178-6
49,2023-10-19,2023-10-26,112,979-0-429-847096-5
50,2024-03-18,2024-05-02,13,979-0-936-333746-7
51,2024-10-30,2024-11-13,61,979-0-237-112166-1
52,2025-03-19,2025-03-26,56,979-0-588-978116-9
53,2025-01-08,2025-02-07,27,979-0-396-275645-0
54,2023-10-20,2023-11-10,83,979-0-266-573209-1
55,2023-05-25,2023-06-01,102,979-0-816-961127-8
56,2024-10-23,2024-11-22,10,979-0-778-545503-1
57,2026-01-04,2026-01-11,69,979-0-337-165914-4
58,2024-12-12,2025-01-02,115,979-0-231-977589-5
59,2025-03-26,2025-04-02,86,979-0-499-823880-4
60,2024-06-29,2024-07-20,94,979-0-272-181354-0
61,2025-04-05,2025-04-19,25,979-0-257-421697-6
62,2025-01-23,2025-03-09,27,979-0-483-510133-7
63,2025-10-31,2025-12-15,56,979-0-281-957210-6
64,2023-10-09,2023-10-30,27,979-0-270-744693-4
65,2024-11-02,2024-11-23,19,979-0-225-144770-7
66,2026-02-10,2026-02-24,10,979-0-845-421440-9
67,2024-02-13,2024-02-20,26,979-0-559-831396-6
68,2025-12-07,2025-12-21,44,979-0-518-901677-0
69,2024-10-06,2024-11-05,112,979-0-931-236435-8
70,2026-05-02,2026-05-11,86,979-0-959-987826-1
71,2024-02-10,2024-02-17,107,979-0-762-839719-4
72,2025-02-01,2025-04-02,10,979-0-255-108161-9
73,2024-03-09,2024-03-16,32,979-0-277-611994-9
74,2023-07-16,2023-07-30,9,979-0-206-807668-8
75,2024-03-28,2024-05-12,18,979-0-520-229858-7
76,2025-04-05,2025-04-26,110,979-0-237-427637-6
77,2024-07-23,2024-09-06,114,979-0-831-545622-8
78,2025-01-15,2025-01-22,73,979-0-945-195310-9
79,2024-08-29,2024-09-28,54,979-0-237-112166-1
80,2024-02-10,2024-03-11,103,979-0-144-131127-3
81,2024-09-30,2024-10-21,58,979-0-908-135527-4
82,2026-02-13,2026-02-20,32,979-0-215-468512-7
83,2025-12-10,2025-12-17,70,979-0-716-412453-1
84,2025-08-08,2025-08-29,6,979-0-499-823880-4
85,2025-11-06,2025-11-27,86,979-0-858-793715-7
86,2024-09-25,2024-10-25,104,979-0-581-879677-2
87,2023-11-16,2023-12-16,54,979-0-479-841870-3
