rating,comment,review_date,readers_users_user_id,book_isbn
3,The characters were very believable.,2024-08-19,6,979-0-155-296694-8
5,Very emotional and well written.,2025-10-24,6,979-0-831-490219-9
4,I could not stop reading this book.,2024-07-02,7,979-0-936-924040-6
4,The characters were very believable.,2025-10-15,7,979-0-255-458388-6
2,The characters were very believable.,2024-11-07,8,979-0-338-122243-9
2,Great atmosphere and pacing.,2025-11-13,8,979-0-193-592841-5
4,One of the best books I read this year.,2026-04-09,9,979-0-785-454733-8
4,I expected more from the story.,2026-04-02,9,979-0-328-943409-8
5,Would definitely recommend it.,2024-08-13,10,979-0-191-584887-3
3,I expected more from the story.,2024-06-20,10,979-0-408-599401-8
4,The ending surprised me a lot.,2024-07-18,11,979-0-217-720928-9
4,Would definitely recommend it.,2024-06-21,11,979-0-959-849421-5
4,Too slow at the beginning.,2024-12-12,12,979-0-167-256557-4
3,The ending surprised me a lot.,2024-10-20,12,979-0-892-216308-8
1,Great atmosphere and pacing.,2025-11-28,13,979-0-499-568394-7
1,The characters were very believable.,2025-06-18,13,979-0-424-496086-9
5,The characters were very believable.,2025-11-11,14,979-0-952-962347-0
1,Would definitely recommend it.,2024-10-18,14,979-0-486-142608-6
3,Too slow at the beginning.,2025-07-01,15,979-0-121-158045-0
5,The ending surprised me a lot.,2026-04-08,15,979-0-806-319387-8
3,Too slow at the beginning.,2024-12-17,16,979-0-909-409355-9
5,I expected more from the story.,2026-03-12,16,979-0-610-104548-8
4,I expected more from the story.,2024-11-18,17,979-0-476-413791-2
4,Loved the writing style.,2026-01-03,17,979-0-697-104326-8
4,Very emotional and well written.,2025-05-05,18,979-0-596-845695-7
4,One of the best books I read this year.,2024-08-03,18,979-0-109-108454-5
4,One of the best books I read this year.,2025-06-15,19,979-0-270-744693-4
3,The ending surprised me a lot.,2026-01-15,19,979-0-421-223694-1
5,I could not stop reading this book.,2025-04-14,20,979-0-192-929090-6
5,The ending surprised me a lot.,2025-10-11,20,979-0-841-502995-6
4,Too slow at the beginning.,2026-03-10,21,979-0-255-458388-6
4,I expected more from the story.,2025-02-16,21,979-0-850-673108-3
5,Too slow at the beginning.,2025-10-20,22,979-0-462-552432-3
4,I could not stop reading this book.,2024-12-28,22,979-0-608-825686-7
4,The characters were very believable.,2024-09-17,23,979-0-908-135527-4
1,I could not stop reading this book.,2025-07-01,23,979-0-596-845695-7
3,I expected more from the story.,2025-07-13,24,979-0-970-788793-8
4,I expected more from the story.,2025-03-06,24,979-0-980-578180-9
3,The ending surprised me a lot.,2025-02-26,25,979-0-610-104548-8
2,Interesting concept but weak execution.,2026-01-11,25,979-0-400-794255-7
5,Would definitely recommend it.,2025-07-19,26,979-0-412-320256-5
5,Too slow at the beginning.,2024-07-31,26,979-0-865-340932-7
5,Interesting concept but weak execution.,2025-07-17,27,979-0-903-316656-3
3,One of the best books I read this year.,2024-07-13,27,979-0-819-575786-4
4,Would definitely recommend it.,2024-12-08,28,979-0-272-807287-8
3,Loved the writing style.,2025-05-16,28,979-0-816-961127-8
4,The characters were very believable.,2024-08-29,29,979-0-691-206694-8
2,The characters were very believable.,2026-01-07,29,979-0-903-316656-3
4,The characters were very believable.,2026-02-23,30,979-0-306-212255-7
1,One of the best books I read this year.,2025-01-31,30,979-0-416-865630-7
5,I could not stop reading this book.,2025-08-20,31,979-0-770-151605-8
4,One of the best books I read this year.,2025-04-12,31,979-0-826-631413-6
3,Too slow at the beginning.,2025-11-06,32,979-0-300-445888-3
4,One of the best books I read this year.,2024-06-12,32,979-0-629-300337-1
4,The characters were very believable.,2025-11-06,33,979-0-713-157443-0
4,Great atmosphere and pacing.,2025-09-15,33,979-0-417-832614-6
5,One of the best books I read this year.,2025-07-18,34,979-0-948-496737-3
3,I expected more from the story.,2025-05-20,34,979-0-909-637705-7
5,Loved the writing style.,2024-10-17,35,979-0-775-236659-9
2,"Not my favorite, but still enjoyable.",2024-07-18,35,979-0-978-698087-9
4,Loved the writing style.,2026-02-22,36,979-0-166-481377-3
5,I could not stop reading this book.,2025-08-05,36,979-0-833-995278-6
5,Great atmosphere and pacing.,2025-03-06,37,979-0-610-104548-8
4,The ending surprised me a lot.,2026-01-28,37,979-0-197-871619-9
2,Interesting concept but weak execution.,2025-08-22,38,979-0-723-309452-4
1,The ending surprised me a lot.,2026-01-27,38,979-0-407-148408-8
4,Loved the writing style.,2025-03-30,39,979-0-225-144770-7
2,Great atmosphere and pacing.,2026-03-01,39,979-0-469-760016-3
